approval_id,record_id,tier_id,approver_employee_id,approver_role,approved_at,approval_status
A000001,R000001,AR-01,E0004,部门经理,2025-09-02,approved
A000002,R000002,AR-01,E0008,部门经理,2025-09-09,approved
A000003,R000003,AR-02,E0008,部门经理,2025-04-26,approved
A000004,R000004,AR-01,E0001,部门经理,2025-08-12,approved
A000005,R000005,AR-01,E0007,部门经理,2025-08-05,approved
A000006,R000006,AR-01,E0001,部门经理,2025-12-18,approved
A000007,R000007,AR-01,E0002,部门经理,2025-09-10,approved
A000008,R000008,AR-01,E0006,部门经理,2025-07-06,approved
A000009,R000009,AR-01,E0001,部门经理,2025-12-11,approved
A000010,R000010,AR-01,E0003,部门经理,2026-01-11,approved
A000011,R000011,AR-01,E0004,部门经理,2025-07-20,approved
A000012,R000012,AR-01,E0004,部门经理,2025-11-06,approved
A000013,R000013,AR-01,E0003,部门经理,2025-08-25,approved
A000014,R000014,AR-01,E0005,部门经理,2025-03-09,approved
A000015,R000015,AR-01,E0004,部门经理,2025-05-11,approved
A000016,R000016,AR-01,E0003,部门经理,2025-10-24,approved
A000017,R000017,AR-01,E0005,部门经理,2026-01-04,approved
A000018,R000018,AR-01,E0006,部门经理,2025-11-14,approved
A000019,R000019,AR-01,E0005,部门经理,2025-08-08,approved
A000020,R000020,AR-01,E0009,部门经理,2025-02-28,approved
A000021,R000021,AR-01,E0009,部门经理,2025-10-05,approved
A000022,R000022,AR-01,E0004,部门经理,2026-01-01,approved
A000023,R000023,AR-01,E0006,部门经理,2025-08-16,approved
A000024,R000024,AR-01,E0009,部门经理,2025-12-18,approved
A000025,R000025,AR-01,E0006,部门经理,2025-12-17,approved
A000026,R000026,AR-01,E0007,部门经理,2025-12-08,approved
A000027,R000027,AR-01,E0001,部门经理,2026-01-10,approved
A000028,R000028,AR-01,E0010,部门经理,2025-05-05,approved
A000029,R000029,AR-01,E0001,部门经理,2025-04-13,approved
A000030,R000030,AR-01,E0005,部门经理,2025-05-01,approved
A000031,R000031,AR-01,E0003,部门经理,2025-12-14,approved
A000032,R000032,AR-01,E0006,部门经理,2025-09-27,approved
A000033,R000033,AR-01,E0003,部门经理,2025-08-01,approved
A000034,R000034,AR-01,E0006,部门经理,2026-01-14,approved
A000035,R000035,AR-01,E0006,部门经理,2025-12-22,approved
A000036,R000036,AR-01,E0005,部门经理,2025-05-09,approved
A000037,R000037,AR-01,E0007,部门经理,2025-04-20,approved
A000038,R000038,AR-01,E0005,部门经理,2025-11-15,approved
A000039,R000039,AR-01,E0006,部门经理,2025-07-12,approved
A000040,R000040,AR-01,E0004,部门经理,2025-11-06,approved
A000041,R000041,AR-01,E0006,部门经理,2025-05-13,approved
A000042,R000042,AR-01,E0006,部门经理,2025-09-15,approved
A000043,R000043,AR-01,E0010,部门经理,2025-12-28,approved
A000044,R000044,AR-01,E0008,部门经理,2025-12-04,approved
A000045,R000045,AR-01,E0001,部门经理,2025-12-27,approved
A000046,R000046,AR-01,E0004,部门经理,2025-06-29,approved
A000047,R000047,AR-01,E0005,部门经理,2025-12-03,approved
A000048,R000048,AR-01,E0005,部门经理,2025-04-02,approved
A000049,R000049,AR-01,E0006,部门经理,2025-02-09,approved
A000050,R000050,AR-01,E0006,部门经理,2025-04-22,approved
A000051,R000051,AR-01,E0003,部门经理,2025-09-07,approved
A000052,R000052,AR-01,E0005,部门经理,2025-05-13,approved
A000053,R000053,AR-01,E0004,部门经理,2025-04-27,approved
A000054,R000054,AR-01,E0007,部门经理,2026-01-14,approved
A000055,R000055,AR-01,E0008,部门经理,2025-05-10,approved
A000056,R000056,AR-01,E0009,部门经理,2025-03-22,approved
A000057,R000057,AR-01,E0004,部门经理,2025-05-08,approved
A000058,R000058,AR-01,E0006,部门经理,2025-05-31,approved
A000059,R000059,AR-01,E0007,部门经理,2025-11-24,approved
A000060,R000060,AR-01,E0001,部门经理,2025-10-29,approved
A000061,R000061,AR-01,E0005,部门经理,2025-07-12,approved
A000062,R000062,AR-01,E0009,部门经理,2025-11-21,approved
A000063,R000063,AR-01,E0005,部门经理,2026-01-05,approved
A000064,R000064,AR-01,E0007,部门经理,2025-07-07,approved
A000065,R000065,AR-01,E0005,部门经理,2025-01-28,approved
A000066,R000066,AR-01,E0010,部门经理,2025-12-03,approved
A000067,R000067,AR-01,E0008,部门经理,2026-01-12,approved
A000068,R000068,AR-01,E0004,部门经理,2025-05-06,approved
A000069,R000069,AR-01,E0010,部门经理,2026-01-02,approved
A000070,R000070,AR-01,E0001,部门经理,2026-01-05,approved
A000071,R000071,AR-01,E0006,部门经理,2025-10-30,approved
