record_id,record_no,employee_id,department_id,expense_date,reimburse_date,expense_type,amount,reason,invoice_id,status,city_tier,nights,days,participants,budget_year,special_approval
R000001,BX2025000001,E0026,D004,2025-07-26,2025-09-02,training_fee,1744.45,星河相关专业能力培训费,INV000001,approved,,,,,2025,0
R000002,BX2025000002,E0050,D008,2025-08-19,2025-09-09,office_supplies,423.79,清源项目资料装订用品费,INV000002,approved,,,,,2025,0
R000003,BX2025000003,E0061,D008,2025-03-15,2025-04-26,training_fee,3209.78,客户服务运营规范培训费,INV000003,approved,,,,,2025,0
R000004,BX2025000004,E0033,D001,2025-07-16,2025-08-12,business_entertainment,598.83,重点客户维护业务招待费,INV000004,approved,,,,3,2025,0
R000005,BX2025000005,E0022,D007,2025-06-07,2025-08-05,local_transport,88.83,青竹系统测试交通费,INV000005,approved,A,,1,,2025,0
R000006,BX2025000006,E0025,D001,2025-12-04,2025-12-18,local_transport,214.44,赴客户现场办理星河事项交通费,INV000006,approved,A,,3,,2025,0
R000007,BX2025000007,E0021,D002,2025-07-24,2025-09-10,training_fee,2301.13,固定收益部项目管理学习费用,INV000007,approved,,,,,2025,0
R000008,BX2025000008,E0060,D006,2025-05-17,2025-07-06,training_fee,2779.19,杭州集中培训课程费,INV000008,approved,,,,,2025,0
R000009,BX2025000009,E0025,D001,2025-11-03,2025-12-11,travel_lodging,545.6,清源客户拜访行程住宿费,INV000009,approved,C,2,,,2025,0
R000010,BX2025000010,E0029,D003,2025-12-09,2026-01-11,local_transport,86.62,上海材料补充交通费,INV000010,approved,A,,1,,2025,0
R000011,BX2025000011,E0055,D004,2025-05-25,2025-07-20,communication,270.14,会议通知通讯费,INV000011,approved,,,,,2025,0
R000012,BX2025000012,E0062,D004,2025-10-07,2025-11-06,training_fee,1960.89,参加信息安全专题培训费,INV000012,approved,,,,,2025,0
R000013,BX2025000013,E0066,D003,2025-07-03,2025-08-25,local_transport,87.17,杭州材料补充交通费,INV000013,approved,B,,1,,2025,0
R000014,BX2025000014,E0032,D005,2025-03-06,2025-03-09,local_transport,120.36,分支机构沟通事项市内交通费,INV000014,approved,C,,3,,2025,0
R000015,BX2025000015,E0062,D004,2025-04-29,2025-05-11,office_supplies,318.46,业务会议用品费,INV000015,approved,,,,,2025,0
R000016,BX2025000016,E0066,D003,2025-09-24,2025-10-24,local_transport,148.8,财富管理部外勤走访市内交通费,INV000016,approved,B,,2,,2025,0
R000017,BX2025000017,E0043,D005,2025-12-31,2026-01-04,communication,265.63,杭州现场支持通讯费,INV000017,approved,,,,,2025,0
R000018,BX2025000018,E0031,D006,2025-11-02,2025-11-14,office_supplies,342.95,澄江资料袋采购费,INV000018,approved,,,,,2025,0
R000019,BX2025000019,E0057,D005,2025-07-15,2025-08-08,office_supplies,282.66,机构业务部文件夹和标签耗材费,INV000019,approved,,,,,2025,0
R000020,BX2025000020,E0028,D009,2025-01-05,2025-02-28,travel_lodging,669.5,财务管理部跨部门协同赴杭州住宿费,INV000020,approved,B,2,,,2025,0
R000021,BX2025000021,E0014,D009,2025-09-23,2025-10-05,local_transport,222.13,财务管理部跨部门沟通交通费,INV000021,approved,A,,2,,2025,0
R000022,BX2025000022,E0062,D004,2025-12-24,2026-01-01,travel_lodging,1198.38,云帆材料访谈期间住宿费,INV000022,approved,A,3,,,2025,0
R000023,BX2025000023,E0068,D006,2025-07-23,2025-08-16,office_supplies,195.7,北辰会议材料打印用品费,INV000023,approved,,,,,2025,0
R000024,BX2025000024,E0047,D009,2025-11-13,2025-12-18,business_entertainment,750.97,客户服务改进沟通餐费,INV000024,approved,,,,3,2025,0
R000025,BX2025000025,E0031,D006,2025-11-21,2025-12-17,local_transport,250.29,北辰尽调访谈交通费,INV000025,approved,B,,3,,2025,0
R000026,BX2025000026,E0027,D007,2025-11-05,2025-12-08,local_transport,84.98,客户访谈期间市内交通包干,INV000026,approved,A,,1,,2025,0
R000027,BX2025000027,E0054,D001,2025-11-23,2026-01-10,business_entertainment,666.68,重点客户维护业务招待费,INV000027,approved,,,,4,2025,0
R000028,BX2025000028,E0036,D010,2025-03-09,2025-05-05,communication,165.58,北辰项目沟通通讯费,INV000028,approved,,,,,2025,0
R000029,BX2025000029,E0045,D001,2025-03-16,2025-04-13,business_entertainment,745.16,机构客户会议工作餐费,INV000029,approved,,,,5,2025,0
R000030,BX2025000030,E0035,D005,2025-04-09,2025-05-01,office_supplies,484.74,北辰资料袋采购费,INV000030,approved,,,,,2025,0
R000031,BX2025000031,E0066,D003,2025-11-20,2025-12-14,business_entertainment,908.2,财富管理部合作机构接待费,INV000031,approved,,,,5,2025,0
R000032,BX2025000032,E0051,D006,2025-08-10,2025-09-27,travel_lodging,946.48,杭州客户沟通行程住宿费,INV000032,approved,B,3,,,2025,0
R000033,BX2025000033,E0029,D003,2025-07-20,2025-08-01,communication,231.05,客户回访电话费用,INV000033,approved,,,,,2025,0
R000034,BX2025000034,E0078,D006,2025-12-27,2026-01-14,local_transport,136.57,杭州材料补充交通费,INV000034,approved,B,,2,,2025,0
R000035,BX2025000035,E0024,D006,2025-11-13,2025-12-22,travel_lodging,285.51,赴杭州参加业务协调会住宿费,INV000035,approved,B,1,,,2025,0
R000036,BX2025000036,E0056,D005,2025-03-18,2025-05-09,office_supplies,470.72,启明现场办公用品费,INV000036,approved,,,,,2025,0
