invoice_id,invoice_no,vendor_name,invoice_date,amount,expense_type
INV000001,FP202500000001,XX供应商9711,2025-07-26,1744.45,training_fee
INV000002,FP202500000002,XX供应商7753,2025-08-19,423.79,office_supplies
INV000003,FP202500000003,XX供应商6760,2025-03-15,3209.78,training_fee
INV000004,FP202500000004,XX供应商8237,2025-07-16,598.83,business_entertainment
INV000005,FP202500000005,XX供应商5450,2025-06-07,88.83,local_transport
INV000006,FP202500000006,XX供应商5730,2025-12-04,214.44,local_transport
INV000007,FP202500000007,XX供应商5112,2025-07-24,2301.13,training_fee
INV000008,FP202500000008,XX供应商5718,2025-05-17,2779.19,training_fee
INV000009,FP202500000009,XX供应商7430,2025-11-03,545.6,travel_lodging
INV000010,FP202500000010,XX供应商8621,2025-12-09,86.62,local_transport
INV000011,FP202500000011,XX供应商4771,2025-05-25,270.14,communication
INV000012,FP202500000012,XX供应商8217,2025-10-07,1960.89,training_fee
INV000013,FP202500000013,XX供应商2451,2025-07-03,87.17,local_transport
INV000014,FP202500000014,XX供应商3232,2025-03-06,120.36,local_transport
INV000015,FP202500000015,XX供应商7267,2025-04-29,318.46,office_supplies
INV000016,FP202500000016,XX供应商9449,2025-09-24,148.8,local_transport
INV000017,FP202500000017,XX供应商7422,2025-12-31,265.63,communication
INV000018,FP202500000018,XX供应商7664,2025-11-02,342.95,office_supplies
INV000019,FP202500000019,XX供应商5980,2025-07-15,282.66,office_supplies
INV000020,FP202500000020,XX供应商2706,2025-01-05,669.5,travel_lodging
INV000021,FP202500000021,XX供应商7917,2025-09-23,222.13,local_transport
INV000022,FP202500000022,XX供应商3857,2025-12-24,1198.38,travel_lodging
INV000023,FP202500000023,XX供应商8734,2025-07-23,195.7,office_supplies
INV000024,FP202500000024,XX供应商2317,2025-11-13,750.97,business_entertainment
INV000025,FP202500000025,XX供应商5567,2025-11-21,250.29,local_transport
INV000026,FP202500000026,XX供应商5129,2025-11-05,84.98,local_transport
INV000027,FP202500000027,XX供应商5876,2025-11-23,666.68,business_entertainment
INV000028,FP202500000028,XX供应商1999,2025-03-09,165.58,communication
INV000029,FP202500000029,XX供应商8177,2025-03-16,745.16,business_entertainment
INV000030,FP202500000030,XX供应商5520,2025-04-09,484.74,office_supplies
INV000031,FP202500000031,XX供应商5370,2025-11-20,908.2,business_entertainment
INV000032,FP202500000032,XX供应商3262,2025-08-10,946.48,travel_lodging
INV000033,FP202500000033,XX供应商2807,2025-07-20,231.05,communication
INV000034,FP202500000034,XX供应商9763,2025-12-27,136.57,local_transport
INV000035,FP202500000035,XX供应商2519,2025-11-13,285.51,travel_lodging
INV000036,FP202500000036,XX供应商4747,2025-03-18,470.72,office_supplies
INV000037,FP202500000037,XX供应商7354,2025-03-30,84.72,local_transport
INV000038,FP202500000038,XX供应商9596,2025-09-16,390.75,office_supplies
INV000039,FP202500000039,XX供应商6175,2025-05-30,347.8,travel_lodging
INV000040,FP202500000040,XX供应商5413,2025-10-12,1684.35,training_fee
INV000041,FP202500000041,XX供应商5998,2025-04-21,2867.87,training_fee
INV000042,FP202500000042,XX供应商3031,2025-07-30,64.35,local_transport
INV000043,FP202500000043,XX供应商4984,2025-11-02,416.78,travel_lodging
INV000044,FP202500000044,XX供应商3401,2025-11-22,54.49,local_transport
INV000045,FP202500000045,XX供应商1249,2025-12-11,2105.26,training_fee
INV000046,FP202500000046,XX供应商4136,2025-06-19,578.36,business_entertainment
INV000047,FP202500000047,XX供应商4099,2025-10-05,214.51,communication
INV000048,FP202500000048,XX供应商1523,2025-03-04,108.49,communication
INV000049,FP202500000049,XX供应商4367,2025-02-06,341.89,business_entertainment
