record_id,employee_id,department_id,expense_date,reimburse_date,expense_type,amount,city_tier,nights,days,participants,special_approval,status,budget_year,invoice_no,vendor_name,invoice_date,employee_level,emp_dept_id,department_name,annual_budget
R000339,E0072,D005,2025-01-01,2025-01-03,business_entertainment,661.56,,,,3,0,approved,2025,FP202500000339,"XX供应商1346",2025-01-01,M1,D005,"机构业务部",278540.94
R000822,E0075,D007,2025-01-04,2025-01-17,business_entertainment,550.78,,,,4,0,approved,2025,FP202500000822,"XX供应商3689",2025-01-04,D1,D007,"信息技术部",301500.0
R002791,E0066,D003,2025-01-05,2025-01-17,business_entertainment,551.97,,,,3,0,approved,2025,FP202500002791,"XX供应商8754",2025-01-05,M1,D003,"财富管理部",109772.07
R002378,E0029,D003,2025-01-14,2025-01-18,business_entertainment,653.15,,,,3,0,approved,2025,FP202500002378,"XX供应商6927",2025-01-14,M1,D003,"财富管理部",109772.07
R001163,E0023,D004,2025-01-09,2025-01-20,business_entertainment,1227.26,,,,7,0,approved,2025,FP202500001163,"XX供应商3305",2025-01-09,M1,D004,"研究所",264890.39
R003602,E0051,D006,2025-01-07,2025-01-20,business_entertainment,426.8,,,,2,0,approved,2025,FP202500003602,"XX供应商1705",2025-01-07,E1,D006,"运营管理部",340961.75
R004060,E0075,D007,2025-01-24,2025-01-25,business_entertainment,1407.67,,,,6,0,approved,2025,FP202500004060,"XX供应商4412",2025-01-24,D1,D007,"信息技术部",301500.0
R000256,E0065,D006,2025-01-04,2025-01-31,business_entertainment,1820.24,,,,7,0,approved,2025,FP202500000256,"XX供应商1071",2025-01-04,E1,D006,"运营管理部",340961.75
R002357,E0040,D001,2025-01-07,2025-01-31,business_entertainment,632.48,,,,4,0,approved,2025,FP202500002357,"XX供应商5000",2025-01-07,D1,D001,"投资银行部",230395.17
R003666,E0058,D007,2025-01-09,2025-02-01,business_entertainment,521.91,,,,3,0,approved,2025,FP202500003666,"XX供应商3617",2025-01-09,E1,D007,"信息技术部",301500.0
R004137,E0050,D008,2025-01-28,2025-02-01,business_entertainment,755.54,,,,3,0,approved,2025,FP202500004137,"XX供应商1864",2025-01-28,X1,D008,"合规风控部",381600.0
R000880,E0030,D007,2025-01-03,2025-02-02,business_entertainment,879.38,,,,4,0,approved,2025,FP202500000880,"XX供应商1657",2025-01-03,X1,D007,"信息技术部",301500.0
R001355,E0022,D007,2025-02-01,2025-02-02,business_entertainment,986.69,,,,4,0,approved,2025,FP202500001355,"XX供应商3046",2025-02-01,D1,D007,"信息技术部",301500.0
R002644,E0062,D004,2025-01-02,2025-02-02,business_entertainment,1348.26,,,,6,0,approved,2025,FP202500002644,"XX供应商3103",2025-01-02,E1,D004,"研究所",264890.39
R002373,E0021,D002,2025-01-25,2025-02-04,business_entertainment,904.96,,,,4,0,approved,2025,FP202500002373,"XX供应商8790",2025-01-25,E1,D002,"固定收益部",107785.42
R002561,E0074,D001,2025-01-18,2025-02-04,business_entertainment,447.32,,,,3,0,approved,2025,FP202500002561,"XX供应商2455",2025-01-18,E1,D001,"投资银行部",230395.17
R002080,E0075,D007,2025-01-16,2025-02-05,business_entertainment,813.09,,,,4,0,approved,2025,FP202500002080,"XX供应商9960",2025-01-16,D1,D007,"信息技术部",301500.0
R001925,E0080,D009,2025-01-06,2025-02-08,business_entertainment,407.57,,,,2,0,approved,2025,FP202500001925,"XX供应商6526",2025-01-06,E1,D009,"财务管理部",191300.0
R000049,E0051,D006,2025-02-06,2025-02-09,business_entertainment,341.89,,,,2,0,approved,2025,FP202500000049,"XX供应商4367",2025-02-06,E1,D006,"运营管理部",340961.75
R000680,E0054,D001,2025-01-18,2025-02-10,business_entertainment,733.8,,,,4,0,approved,2025,FP202500000680,"XX供应商3692",2025-01-18,E1,D001,"投资银行部",230395.17
R000709,E0063,D004,2025-01-24,2025-02-10,business_entertainment,790.98,,,,3,0,approved,2025,FP202500000709,"XX供应商9805",2025-01-24,E1,D004,"研究所",264890.39
R003378,E0014,D009,2025-01-17,2025-02-10,business_entertainment,835.58,,,,4,0,approved,2025,FP202500003378,"XX供应商7837",2025-01-17,M1,D009,"财务管理部",191300.0
R001596,E0060,D006,2025-01-29,2025-02-11,business_entertainment,862.04,,,,4,0,approved,2025,FP202500001596,"XX供应商7532",2025-01-29,E1,D006,"运营管理部",340961.75
R001693,E0054,D001,2025-02-08,2025-02-11,business_entertainment,1198.27,,,,7,0,approved,2025,FP202500001693,"XX供应商5066",2025-02-08,E1,D001,"投资银行部",230395.17
R000216,E0063,D004,2025-02-12,2025-02-13,business_entertainment,672.39,,,,3,0,approved,2025,FP202500000216,"XX供应商6473",2025-02-12,E1,D004,"研究所",264890.39
R001856,E0058,D007,2025-01-12,2025-02-13,business_entertainment,775.5,,,,5,0,approved,2025,FP202500001856,"XX供应商2332",2025-01-12,E1,D007,"信息技术部",301500.0
R003913,E0029,D003,2025-01-21,2025-02-15,business_entertainment,743.28,,,,3,0,approved,2025,FP202500003913,"XX供应商1090",2025-01-21,M1,D003,"财富管理部",109772.07
R003730,E0019,D006,2025-01-12,2025-02-16,business_entertainment,456.19,,,,2,0,approved,2025,FP202500003730,"XX供应商3500",2025-01-12,M1,D006,"运营管理部",340961.75
R001774,E0038,D004,2025-02-10,2025-02-19,business_entertainment,655.23,,,,4,0,approved,2025,FP202500001774,"XX供应商8418",2025-02-10,M1,D004,"研究所",264890.39
R001255,E0024,D006,2025-01-01,2025-02-20,business_entertainment,812.39,,,,4,0,approved,2025,FP202500001255,"XX供应商4046",2025-01-01,E1,D006,"运营管理部",340961.75
R001676,E0022,D007,2025-01-03,2025-02-20,business_entertainment,401.77,,,,2,0,approved,2025,FP202500001676,"XX供应商7696",2025-01-03,D1,D007,"信息技术部",301500.0
R002090,E0053,D010,2025-01-27,2025-02-20,business_entertainment,487.72,,,,3,0,approved,2025,FP202500002090,"XX供应商6983",2025-01-27,E1,D010,"人力资源部",164500.0
R002360,E0043,D005,2025-01-06,2025-02-20,business_entertainment,1328.08,,,,5,0,approved,2025,FP202500002360,"XX供应商7734",2025-01-06,E1,D005,"机构业务部",278540.94
R002546,E0052,D003,2025-01-14,2025-02-20,business_entertainment,426.52,,,,3,0,approved,2025,FP202500002546,"XX供应商1859",2025-01-14,M1,D003,"财富管理部",109772.07
R000860,E0028,D009,2025-01-14,2025-02-21,business_entertainment,867.65,,,,4,0,approved,2025,FP202500000860,"XX供应商1409",2025-01-14,E1,D009,"财务管理部",191300.0
